Nom du fichier,DepthKit,Niveaux,Note,Personne,Thème
Exit Plan 2. Sorry mum,Exit Plan_1,2,3,Exit Plan,"Familly, Intime, Police, Urbex"
Exit Plan 3. Fuck NYPD,Exit Plan_1,3,3,Exit Plan,"Autre, Fun, Police, Urbex"
Chris 2/Chris(2) 0. Intro,Chris 2/Chris_2,,,Chris,Intro
Chris 2/Chris(2) 2. Radio,Chris 2/Chris_2,2,2,Chris,"Danger, Police, Urbex"
Chris 2/Chris(2) 3. Dad's steps,Chris 2/Chris_2,3,3,Chris,"Familly, Intime, Police, Urbex"
Chris 3/Chris(3) 4. Professional,Chris 3/Chris_3,"0, 1",3,Chris,"Police, Travail, Urbex"
Chris 4/Chris(4) 1. Cup of tea,Chris 4/Chris_4,1,3,Chris,"Recap, Urbex"
Lucinda 0. Intro,Lucinda,,,Lucinda,Intro
Lucinda 1. community,Lucinda,2,3,Lucinda,"Familly, Fun, Urbex"
Lucinda 2. accident,Lucinda,4,3,Lucinda,"Danger, Intime, Urbex"
Max 0. Intro,Max,,,Max,Intro
Max 1. Fear and alert,Max,1,3,Max,"Addiction, Danger, Fun, Mystique, Urbex"
Max 2. Family,Max,3,3,Max,"Addiction, Familly, Police, Travail, Urbex"
Max 3. Sharing,Max,2,2,Max,"Fun, Intime, Urbex"
Max 4. Dead body,Max,3,3,Max,"Danger, Familly, Intime, Urbex"
Terry 0. Intro,Terry,,,Terry,Intro
Terry 1. What is underground,Terry,3,3,Terry,"Histoire, Mole People, Recap, Travail"
Terry 2. Historical,Terry,2,3,Terry,"11 sept, Histoire, Mole People"
Terry 3. Mole people,Terry,1,3,Terry,"Histoire, Mole People"
Terry 4. Feeling,Terry,4,3,Terry,"Intime, Mole People"
Alex 5. Solitude,Alex,1,3,Alex,"Intime, Urbex"
